City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,turochak,52.2576,87.1224,14.92,81,82,0.46,RU,1691428271
356,greenville,35.6127,-77.3663,33.4,63,0,2.57,US,1691428215
357,tuam,53.5167,-8.85,14.96,79,98,3.25,IE,1691428272
358,dudinka,69.4058,86.1778,17.57,47,43,1.23,RU,1691428277
359,fisterra,42.9049,-9.2629,22.08,59,0,9.63,ES,1691428278
360,vrangel',42.7297,133.0839,17.98,85,99,3.69,RU,1691428278
361,famagusta,35.125,33.95,31.72,85,0,2.78,CY,1691428278
362,sydney,-33.8679,151.2073,12.02,90,100,2.57,AU,1691427860
363,crane,31.3974,-102.3501,35.82,24,6,8.73,US,1691428279
364,conde,-7.2597,-34.9075,27.7,69,75,6.69,BR,1691428279
365,lihue,21.9789,-159.3672,26.77,85,100,5.66,US,1691428279
